,match_id,innings_number,Batting,R,B,4s,6s,SR,innings_number,in at,match_id,is_out,bowler,wicket_number,wicket_fell_at
0,1400053,1,Alexander Dizija,6,7,1,0,85.71,1,0,1400053,True,Bruce,1,7
1,1400053,1,Simo Ivetic,63,51,4,3,123.52,1,0,1400053,False,,,
2,1400053,1,Leslie Dunbar,10,26,0,0,38.46,1,3,1400053,True,Bodha,2,35
3,1400053,1,Wintley Burton,3,8,0,0,37.50,1,4,1400053,True,Bodha,3,49
4,1400053,1,Jovan Reb,5,11,0,0,45.45,1,5,1400053,True,Pai,4,67
5,1400053,1,Nemanja Zimonjic,7,12,0,0,58.33,1,6,1400053,True,,5,96
6,1400053,1,Alister Gajic,2,6,0,0,33.33,1,7,1400053,False,,,
11,1400053,2,Avinash Pai,36,28,4,1,128.57,2,0,1400053,True,Gajic,2,74
12,1400053,2,Louis Bruce,30,27,4,1,111.11,2,0,1400053,True,Dizija,1,74
13,1400053,2,Julian Freyone,21,15,2,0,140.00,2,3,1400053,False,,,
14,1400053,2,Iain Latin,10,11,0,0,90.90,2,4,1400053,True,,3,102
15,1400053,2,Kenroy Nestor,0,4,0,0,0.00,2,5,1400053,False,,,
